,0
1867.5860077051425,2205
1867.6256017586345,2201
1867.6644265478417,2151
1867.702496810497,2199
1867.7398270115586,2227
1867.7764313478838,2286
1867.812323752838,2165
1867.8475179008394,2174
1867.8820272118378,2200
1867.9158648557298,2167
1867.949043756711,2201
1867.9815765975638,2102
1868.0134758238808,2123
1868.0447536482284,2176
1868.0754220542467,2134
1868.1054928006874,2194
1868.1349774253918,2142
1868.163887249205,2137
1868.1922333798348,2210
1868.2200267156477,2200
1868.247277949405,2119
1868.2739975719437,2115
1868.3001958757968,2186
1868.3258829587576,2115
1868.351068727386,2032
1868.3757629004604,2125
1868.3999750123726,2136
1868.423714416469,2202
1868.4469902883359,2202
1868.4698116290328,2126
1868.492187268272,2132
1868.5141258675449,2174
1868.5356359231987,2128
1868.5567257694606,2205
1868.5774035814104,2134
1868.5976773779062,2120
1868.6175550244575,2132
1868.6370442360537,2226
1868.6561525799405,2116
1868.6748874783518,2168
1868.6932562111947,2140
1868.7112659186873,2148
1868.7289236039533,2126
1868.7462361355686,2125
1868.763210250067,2152
1868.7798525544008,2080
1868.7961695283602,2124
1868.8121675269472,2090
1868.8278527827113,2118
1868.8432314080428,2181
1868.8583093974266,2082
1868.873092629654,2093
1868.8875868699984,2022
1868.9017977723504,2138
1868.915730881315,2059
1868.9293916342733,2152
1868.9427853634047,2115
1868.9559172976744,2094
1868.968792564786,2024
1868.9814161930976,2088
1868.9937931135037,2062
1869.005928161283,2076
1869.0178260779144,2099
1869.0294915128566,2084
1869.0409290253,2024
1869.0521430858826,2066
1869.063138078377,2043
1869.0739183013447,2033
1869.0844879697638,2065
1869.0948512166224,2031
1869.105012094485,2053
1869.1149745770304,2086
1869.1247425605611,1992
1869.1343198654836,2129
1869.1437102377631,2071
1869.1529173503495,2079
1869.1619448045792,2058
1869.1707961315492,2011
1869.1794747934664,1996
1869.1879841849702,1981
1869.196327634434,2000
1869.2045084052388,2087
1869.2125296970248,2001
1869.2203946469203,1971
1869.2281063307441,2088
1869.2356677641903,1992
1869.243081903988,2038
1869.2503516490387,2036
1869.2574798415342,2004
1869.2644692680515,1994
1869.2713226606295,1994
1869.2780426978227,1955
1869.2846320057374,2046
1869.2910931590459,1913
1869.297428681984,1950
1869.3036410493278,1993
1869.3097326873533,1924
1869.3157059747762,1892
1869.3215632436752,1955
1869.3273067803975,1891
1869.3329388264465,1952
1869.3384615793539,2021
1869.3438771935328,1991
1869.349187781117,1962
1869.3543954127838,1905
1869.3595021185592,1935
1869.3645098886109,1871
1869.3694206740217,1909
1869.374236387554,1910
1869.3789589043938,1950
1869.3835900628847,1929
1869.3881316652446,1912
1869.3925854782715,1880
1869.3969532340348,1883
1869.401236630551,1851
1869.4054373324507,1815
1869.4095569716283,1872
1869.4135971478836,1878
1869.417559429547,1840
1869.4214453540956,1846
1869.4252564287547,1818
1869.4289941310908,1821
1869.432659909592,1884
1869.4362551842348,1850
1869.4397813470437,1875
1869.4432397626376,1812
1869.446631768766,1809
1869.4499586768359,1768
1869.4532217724268,1727
1869.4564223157972,1789
1869.4595615423805,1795
1869.462640663271,1815
1869.465660865703,1775
1869.4686233135155,1767
1869.4715291476132,1865
1869.4743794864157,1830
1869.4771754262983,1700
1869.479918042025,1758
1869.4826083871721,1741
1869.485247494544,1763
1869.4878363765813,1627
1869.4903760257612,1680
1869.4928674149883,1716
1869.4953114979796,1715
1869.497709209642,1725
1869.50006146644,1720
1869.5023691667611,1717
1869.504633191268,1665
1869.5068544032492,1660
1869.5090336489588,1700
1869.511171757953,1661
1869.5132695434177,1735
1869.51532780249,1690
1869.5173473165753,1643
1869.5193288516552,1634
1869.5212731585923,1642
1869.5231809734264,1639
1869.5250530176668,1610
1869.526889998579,1616
1869.528692609464,1590
1869.5304615299337,1482
1869.532197426181,1560
1869.5339009512425,1600
1869.535572745259,1698
1869.5372134357294,1589
1869.5388236377585,1549
1869.5404039543027,1587
1869.5419549764083,1537
1869.543477283447,1537
1869.544971443345,1507
1869.5464380128092,1589
1869.5478775375482,1547
1869.5492905524893,1522
1869.5506775819904,1500
1869.5520391400496,1565
1869.5533757305075,1524
1869.5546878472492,1487
1869.5559759744,1498
1869.5572405865191,1494
1869.558482148785,1457
1869.559701117184,1496
1869.5608979386902,1389
1869.5620730514427,1540
1869.5632268849208,1393
1869.5643598601146,1434
1869.5654723896923,1482
1869.5665648781649,1353
1869.5676377220461,1401
1869.5686913100117,1296
1869.5697260230531,1426
1869.5707422346295,1404
1869.571740310816,1365
1869.5727206104511,1346
1869.573683485277,1361
1869.5746292800811,1344
1869.5755583328337,1334
1869.576470974822,1350
1869.5773675307823,1432
1869.578248319029,1281
1869.5791136515818,1334
1869.57996383429,1350
1869.5807991669542,1274
1869.5816199434457,1271
1869.5824264518242,1290
1869.583218974452,1318
1869.583997788106,1313
1869.58476316409,1283
1869.585515368341,1242
1869.5862546615358,1260
1869.586981299195,1289
1869.5876955317854,1253
1869.5883976048183,1195
1869.589087758949,1160
1869.5897662300724,1231
1869.5904332494165,1181
1869.5910890436357,1209
1869.5917338348995,1250
1869.5923678409831,1161
1869.5929912753527,1167
1869.5936043472516,1210
1869.5942072617831,1183
1869.594800219993,1223
1869.595383418949,1178
1869.5959570518203,1190
1869.596521307953,1170
1869.5970763729483,1158
1869.5976224287338,1146
1869.5981596536385,1133
1869.5986882224618,1170
1869.5992083065448,1105
1869.5997200738382,1080
1869.6002236889692,1140
1869.6007193133078,1123
1869.60120710503,1110
1869.6016872191824,1113
1869.6021598077432,1036
1869.6026250196833,1077
1869.603083001025,1026
1869.6035338949016,1079
1869.6039778416134,1030
1869.6044149786844,1083
1869.6048454409165,1055
1869.6052693604447,1056
1869.6056868667881,1066
1869.6060980869033,1028
1869.6065031452333,1022
1869.6069021637593,961
1869.6072952620475,974
1869.6076825572982,1030
1869.6080641643916,1028
