Bin_Center,Count
1.931630308975409207e+03,1.069000000000000000e+03
1.932296171746782420e+03,1.094000000000000000e+03
1.932951006690747818e+03,1.093000000000000000e+03
1.933594957841448377e+03,1.079000000000000000e+03
1.934228168765329201e+03,1.084000000000000000e+03
1.934850782503460778e+03,1.101000000000000000e+03
1.935462941516374030e+03,1.090000000000000000e+03
1.936064787631359195e+03,1.140000000000000000e+03
1.936656461992175082e+03,1.149000000000000000e+03
1.937238105011123025e+03,1.107000000000000000e+03
1.937809856323428448e+03,1.128000000000000000e+03
1.938371854743876838e+03,1.136000000000000000e+03
1.938924238225658200e+03,1.093000000000000000e+03
1.939467143821356331e+03,1.103000000000000000e+03
1.940000707646037654e+03,1.204000000000000000e+03
1.940525064842381425e+03,1.156000000000000000e+03
1.941040349547798769e+03,1.139000000000000000e+03
1.941546694863486209e+03,1.115000000000000000e+03
1.942044232825361405e+03,1.230000000000000000e+03
1.942533094376824920e+03,1.173000000000000000e+03
1.943013409343299372e+03,1.169000000000000000e+03
1.943485306408487986e+03,1.228000000000000000e+03
1.943948913092303428e+03,1.122000000000000000e+03
1.944404355730416682e+03,1.227000000000000000e+03
1.944851759455369120e+03,1.200000000000000000e+03
1.945291248179202739e+03,1.182000000000000000e+03
1.945722944577556973e+03,1.139000000000000000e+03
1.946146970075178160e+03,1.194000000000000000e+03
1.946563444832803498e+03,1.279000000000000000e+03
1.946972487735358300e+03,1.188000000000000000e+03
1.947374216381432234e+03,1.218000000000000000e+03
1.947768747073977465e+03,1.140000000000000000e+03
1.948156194812193007e+03,1.231000000000000000e+03
1.948536673284543667e+03,1.211000000000000000e+03
1.948910294862871979e+03,1.231000000000000000e+03
1.949277170597562190e+03,1.181000000000000000e+03
1.949637410213712883e+03,1.252000000000000000e+03
1.949991122108277523e+03,1.150000000000000000e+03
1.950338413348132690e+03,1.210000000000000000e+03
1.950679389669037164e+03,1.281000000000000000e+03
1.951014155475438884e+03,1.234000000000000000e+03
1.951342813841099087e+03,1.200000000000000000e+03
1.951665466510492251e+03,1.254000000000000000e+03
1.951982213900949546e+03,1.207000000000000000e+03
1.952293155105509413e+03,1.245000000000000000e+03
1.952598387896444365e+03,1.291000000000000000e+03
1.952898008729428511e+03,1.170000000000000000e+03
1.953192112748318323e+03,1.287000000000000000e+03
1.953480793790510461e+03,1.299000000000000000e+03
1.953764144392853723e+03,1.302000000000000000e+03
1.954042255798079623e+03,1.226000000000000000e+03
1.954315217961730468e+03,1.281000000000000000e+03
1.954583119559549914e+03,1.249000000000000000e+03
1.954846047995317804e+03,1.290000000000000000e+03
1.955104089409098378e+03,1.255000000000000000e+03
1.955357328685880930e+03,1.232000000000000000e+03
1.955605849464584480e+03,1.273000000000000000e+03
1.955849734147411255e+03,1.267000000000000000e+03
1.956089063909518472e+03,1.310000000000000000e+03
1.956323918708992096e+03,1.356000000000000000e+03
1.956554377297101382e+03,1.306000000000000000e+03
1.956780517228814460e+03,1.322000000000000000e+03
1.957002414873552425e+03,1.209000000000000000e+03
1.957220145426169893e+03,1.263000000000000000e+03
1.957433782918137240e+03,1.375000000000000000e+03
1.957643400228914743e+03,1.287000000000000000e+03
1.957849069097494976e+03,1.303000000000000000e+03
1.958050860134104369e+03,1.264000000000000000e+03
1.958248842832042556e+03,1.273000000000000000e+03
1.958443085579651552e+03,1.307000000000000000e+03
1.958633655672394980e+03,1.269000000000000000e+03
1.958820619325037114e+03,1.300000000000000000e+03
1.959004041683910373e+03,1.317000000000000000e+03
1.959183986839253066e+03,1.315000000000000000e+03
1.959360517837614225e+03,1.284000000000000000e+03
1.959533696694307082e+03,1.316000000000000000e+03
1.959703584405903257e+03,1.298000000000000000e+03
1.959870240962759453e+03,1.355000000000000000e+03
1.960033725361563256e+03,1.323000000000000000e+03
1.960194095617890980e+03,1.302000000000000000e+03
1.960351408778768473e+03,1.296000000000000000e+03
1.960505720935226691e+03,1.315000000000000000e+03
1.960657087234841811e+03,1.347000000000000000e+03
1.960805561894257153e+03,1.299000000000000000e+03
1.960951198211674182e+03,1.297000000000000000e+03
1.961094048579308719e+03,1.319000000000000000e+03
1.961234164495806453e+03,1.328000000000000000e+03
1.961371596578609569e+03,1.276000000000000000e+03
1.961506394576271305e+03,1.387000000000000000e+03
1.961638607380708208e+03,1.317000000000000000e+03
1.961768283039392827e+03,1.285000000000000000e+03
1.961895468767472266e+03,1.304000000000000000e+03
1.962020210959817632e+03,1.355000000000000000e+03
1.962142555202992298e+03,1.343000000000000000e+03
1.962262546287139457e+03,1.276000000000000000e+03
1.962380228217783952e+03,1.370000000000000000e+03
1.962495644227545654e+03,1.357000000000000000e+03
1.962608836787757809e+03,1.391000000000000000e+03
1.962719847619993516e+03,1.345000000000000000e+03
1.962828717707489886e+03,1.366000000000000000e+03
1.962935487306474442e+03,1.338000000000000000e+03
1.963040195957385549e+03,1.251000000000000000e+03
1.963142882495990307e+03,1.379000000000000000e+03
1.963243585064390572e+03,1.359000000000000000e+03
1.963342341121923027e+03,1.296000000000000000e+03
1.963439187455947149e+03,1.375000000000000000e+03
1.963534160192518812e+03,1.362000000000000000e+03
1.963627294806952250e+03,1.427000000000000000e+03
1.963718626134264468e+03,1.359000000000000000e+03
1.963808188379503690e+03,1.332000000000000000e+03
1.963896015127962755e+03,1.306000000000000000e+03
1.963982139355271102e+03,1.296000000000000000e+03
1.964066593437369193e+03,1.327000000000000000e+03
1.964149409160364257e+03,1.362000000000000000e+03
1.964230617730265521e+03,1.356000000000000000e+03
1.964310249782598476e+03,1.361000000000000000e+03
1.964388335391899545e+03,1.320000000000000000e+03
1.964464904081090481e+03,1.305000000000000000e+03
1.964539984830730191e+03,1.398000000000000000e+03
1.964613606088148572e+03,1.395000000000000000e+03
1.964685795776456416e+03,1.366000000000000000e+03
1.964756581303438452e+03,1.362000000000000000e+03
1.964825989570323600e+03,1.345000000000000000e+03
1.964894046980436315e+03,1.300000000000000000e+03
1.964960779447729237e+03,1.364000000000000000e+03
1.965026212405195110e+03,1.390000000000000000e+03
1.965090370813161826e+03,1.433000000000000000e+03
1.965153279167469009e+03,1.352000000000000000e+03
1.965214961507527505e+03,1.312000000000000000e+03
1.965275441424261317e+03,1.379000000000000000e+03
1.965334742067934940e+03,1.384000000000000000e+03
1.965392886155865426e+03,1.325000000000000000e+03
1.965449895980018937e+03,1.355000000000000000e+03
1.965505793414495656e+03,1.307000000000000000e+03
1.965560599922899883e+03,1.364000000000000000e+03
1.965614336565600752e+03,1.310000000000000000e+03
1.965667024006880411e+03,1.362000000000000000e+03
1.965718682521972823e+03,1.392000000000000000e+03
1.965769332003994350e+03,1.346000000000000000e+03
1.965818991970766092e+03,1.356000000000000000e+03
1.965867681571529147e+03,1.313000000000000000e+03
1.965915419593555043e+03,1.339000000000000000e+03
1.965962224468650220e+03,1.381000000000000000e+03
1.966008114279557958e+03,1.375000000000000000e+03
1.966053106766258225e+03,1.342000000000000000e+03
1.966097219332164059e+03,1.311000000000000000e+03
1.966140469050220872e+03,1.315000000000000000e+03
1.966182872668903201e+03,1.358000000000000000e+03
1.966224446618117327e+03,1.322000000000000000e+03
1.966265207015002488e+03,1.314000000000000000e+03
1.966305169669642055e+03,1.316000000000000000e+03
1.966344350090674880e+03,1.387000000000000000e+03
1.966382763490816387e+03,1.358000000000000000e+03
1.966420424792287577e+03,1.394000000000000000e+03
1.966457348632151252e+03,1.306000000000000000e+03
