Bin_Center,Count
1.868962726414100416e+03,1.346000000000000000e+03
1.868975349403680184e+03,1.224000000000000000e+03
1.868987725697937094e+03,1.236000000000000000e+03
1.868999860131903006e+03,1.215000000000000000e+03
1.869011757446815409e+03,1.248000000000000000e+03
1.869023422291895713e+03,1.307000000000000000e+03
1.869034859226101844e+03,1.304000000000000000e+03
1.869046072719843778e+03,1.289000000000000000e+03
1.869057067156669746e+03,1.223000000000000000e+03
1.869067846834923557e+03,1.262000000000000000e+03
1.869078415969367143e+03,1.294000000000000000e+03
1.869088778692778305e+03,1.257000000000000000e+03
1.869098939057514372e+03,1.265000000000000000e+03
1.869108901037052192e+03,1.271000000000000000e+03
1.869118668527495174e+03,1.273000000000000000e+03
1.869128245349054851e+03,1.288000000000000000e+03
1.869137635247505386e+03,1.247000000000000000e+03
1.869146841895609441e+03,1.229000000000000000e+03
1.869155868894519926e+03,1.241000000000000000e+03
1.869164719775153571e+03,1.250000000000000000e+03
1.869173397999540612e+03,1.292000000000000000e+03
1.869181906962147423e+03,1.234000000000000000e+03
1.869190249991177552e+03,1.184000000000000000e+03
1.869198430349845694e+03,1.227000000000000000e+03
1.869206451237629153e+03,1.169000000000000000e+03
1.869214315791495437e+03,1.225000000000000000e+03
1.869222027087107108e+03,1.239000000000000000e+03
1.869229588140004353e+03,1.180000000000000000e+03
1.869237001906765272e+03,1.161000000000000000e+03
1.869244271286143885e+03,1.138000000000000000e+03
1.869251399120186306e+03,1.241000000000000000e+03
1.869258388195328052e+03,1.209000000000000000e+03
1.869265241243468608e+03,1.224000000000000000e+03
1.869271960943025988e+03,1.218000000000000000e+03
1.869278549919971738e+03,1.204000000000000000e+03
1.869285010748847981e+03,1.194000000000000000e+03
1.869291345953760811e+03,1.194000000000000000e+03
1.869297558009361182e+03,1.178000000000000000e+03
1.869303649341800337e+03,1.166000000000000000e+03
1.869309622329672948e+03,1.196000000000000000e+03
1.869315479304938890e+03,1.216000000000000000e+03
1.869321222553828648e+03,1.104000000000000000e+03
1.869326854317731431e+03,1.157000000000000000e+03
